"model_name","source_file","status_field_refs","tenant_field_refs","confidence"
"digilockerAuditTrailEventModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerAuditTrailEventModel.js","0","3","Confirmed from code"
"digilockerDocumentExtractionModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerDocumentExtractionModel.js","0","3","Confirmed from code"
"digilockerDocumentVersionModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerDocumentVersionModel.js","0","3","Confirmed from code"
"digilockerQuestionEvidenceMapModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\digilockerQuestionEvidenceMapModel.js","0","3","Confirmed from code"
"document_access_events","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\accessEventModel.js","0","0","Confirmed from code"
"document_share_policies","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\sharePolicyModel.js","2","1","Confirmed from code"
"document_views","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\documentViewModel.js","0","0","Confirmed from code"
"documents","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\documentModel.js","1","3","Confirmed from code"
"evidence","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\evidenceModel.js","1","3","Confirmed from code"
"evidence_pages","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\evidencePageModel.js","0","4","Confirmed from code"
"evidence_uploads","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\evidenceUploadModel.js","2","4","Confirmed from code"
"EvidenceFinding","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\EvidenceFinding.js","0","0","Confirmed from code"
"Fda483","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\fda483Model.js","0","0","Confirmed from code"
"FdaCitation","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\fdaCitationModel.js","0","0","Confirmed from code"
"FdaDashboardSnapshot","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\fdaDashboardSnapshotModel.js","0","0","Confirmed from code"
"FdaInspection","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\fdaInspectionModel.js","0","0","Confirmed from code"
"formLayouts","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\formLayoutModel.js","0","0","Confirmed from code"
"governanceAuditLogModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\governanceAuditLogModel.js","0","3","Confirmed from code"
"HawkConversation","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\hawkConversationModel.js","0","2","Confirmed from code"
"HawkPlaybook","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\hawkPlaybookModel.js","0","2","Confirmed from code"
"HawkPolicy","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\hawkPolicyModel.js","0","2","Confirmed from code"
"HawkUnanswered","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\hawkUnansweredModel.js","2","2","Confirmed from code"
"integrationAuditLogModel","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\integrationAuditLogModel.js","0","3","Confirmed from code"
